id,category,realm_id,text
lose_core_3,combat_lose,core_formation_3,Thất bại nhắc nhở Nguyên Anh không dễ đạt — cần chuẩn bị kỹ hơn.
cult_soul_1,cultivation,nascent_soul_1,Thần hồn rời thân thể nửa bước rồi lại quay về đan điền.
cult_soul_2,cultivation,nascent_soul_2,Nguyên Anh lớn mạnh và có thể di chuyển xa hàng dặm.
cult_soul_3,cultivation,nascent_soul_3,Nguyên anh đỉnh tầng và thần hồn gần như bất tử.
break_soul_1,breakthrough,nascent_soul_1,Nguyên Anh mở mắt và một niệm đã có thể chạm đến mây trời.
break_soul_2,breakthrough,nascent_soul_2,Thần hồn thêm vững và thoát xác đã không còn giới hạn.
break_soul_3,breakthrough,nascent_soul_3,Nguyên Anh đạt cực hạn — Hóa Thần đang chờ đợi.
win_soul_1,combat_win,nascent_soul_1,Thần thức thu về nên trận này đã nằm trong tính toán.
win_soul_2,combat_win,nascent_soul_2,Đối thủ đã nằm trong tầm nhìn của thần thức — không có gì bất ngờ.
win_soul_3,combat_win,nascent_soul_3,Thắng lợi chứng minh Nguyên Anh đã đứng trên đỉnh phàm giới.
lose_soul_1,combat_lose,nascent_soul_1,Nguyên Anh rung động nên thần thức cần được an dưỡng.
lose_soul_2,combat_lose,nascent_soul_2,Thương tổn thương hồn nhưng Nguyên Anh còn — có thể phục hồi.
lose_soul_3,combat_lose,nascent_soul_3,Thất bại nhắc nhở Hóa Thần không dễ bước — cần kiên định hơn.
cult_deity_1,cultivation,deity_transform_1,Thần thức hòa vào thiên địa rồi gom về như sóng triều.
cult_deity_2,cultivation,deity_transform_2,Thần thức trải rộng trăm dặm và cảm nhận mọi rung động.
cult_deity_3,cultivation,deity_transform_3,Thần ý gần như một với thiên địa — mỗi ý niệm đều là thiên tai.
break_deity_1,breakthrough,deity_transform_1,Thần ý hợp với trời đất và một bước đã khác phàm nhân.
break_deity_2,breakthrough,deity_transform_2,Thần thức thêm sâu và một niệm có thể gấp không gian.
break_deity_3,breakthrough,deity_transform_3,Thần ý đạt đỉnh — Luyện Hư đang chờ đợi.
win_deity_1,combat_win,deity_transform_1,Chiến trường lặng đi như bị thần niệm ép xuống.
win_deity_2,combat_win,deity_transform_2,Đối thủ không thể thoát khỏi tầm nhìn của thần thức.
win_deity_3,combat_win,deity_transform_3,Thắng lợi chứng minh thần ý đã đủ để bước vào hư không.
lose_deity_1,combat_lose,deity_transform_1,Thần niệm tán đi nên người lùi một bước để giữ đạo tâm.
lose_deity_2,combat_lose,deity_transform_2,Thương tổn thần hồn nhưng thần ý còn — có thể tu lại.
lose_deity_3,combat_lose,deity_transform_3,Thất bại nhắc nhở Luyện Hư cần sự chuẩn bị kỹ lưỡng.
cult_void_1,cultivation,void_refinement_1,Thần thức bắt đầu tiếp xúc với hư không và cảm nhận được ranh giới.
cult_void_2,cultivation,void_refinement_2,Có thể dùng hư không như vũ khí — không gian như bùn trong tay.
cult_void_3,cultivation,void_refinement_3,Thân thể có thể tồn tại trong hư không và thời gian như đã mất nghĩa.
break_void_1,breakthrough,void_refinement_1,Ranh giới giữa ta và thế giới trở nên mờ nhạt — một bước vào hư không.
break_void_2,breakthrough,void_refinement_2,Có thể gấp không gian tạo ra bẫy vô hình cho kẻ địch.
break_void_3,breakthrough,void_refinement_3,Luyện Hư cực hạn — Hợp Thể đang chờ đợi.
win_void_1,combat_win,void_refinement_1,Kẻ địch không thể nhìn thấy đòn đánh từ hư không.
win_void_2,combat_win,void_refinement_2,Không gian đã bị ta khuất phục — không ai thoát được.
win_void_3,combat_win,void_refinement_3,Thắng lợi chứng minh đã sẵn sàng hợp nhất với thiên địa.
lose_void_1,combat_lose,void_refinement_1,Hư không phản噬 khiến thần thức tán đi.
lose_void_2,combat_lose,void_refinement_2,Bị hư không cắn trả nhưng còn có thể phục hồi.
lose_void_3,combat_lose,void_refinement_3,Thất bại nhắc nhở Hợp Thể cần sự kiên định tuyệt đối.
cult_body_1,cultivation,body_integration_1,Thần thức và thể xác bắt đầu hợp nhất với thiên địa.
cult_body_2,cultivation,body_integration_2,Thiên địa linh khí tự nguyện nhập vào thân.
cult_body_3,cultivation,body_integration_3,Tu sĩ đã trở thành một phần của thiên địa — núi sông rung động.
break_body_1,breakthrough,body_integration_1,Không còn ranh giới giữa trong và ngoài thân — một với thiên địa.
break_body_2,breakthrough,body_integration_2,Thiên địa linh khí tự nguyện nhập thân như nước chảy về nguồn.
break_body_3,breakthrough,body_integration_3,Hợp Thể cực hạn — Độ Kiếp đang chờ đợi.
win_body_1,combat_win,body_integration_1,Mỗi đòn đánh đều mang theo ý niệm thiên địa.
win_body_2,combat_win,body_integration_2,Kẻ địch không thể đối kháng với một phần của thiên địa.
win_body_3,combat_win,body_integration_3,Thắng lợi chứng minh đã sẵn sàng đối mặt thiên kiếp.
lose_body_1,combat_lose,body_integration_1,Hợp nhất với thiên địa bị phá vỡ tạm thời.
lose_body_2,combat_lose,body_integration_2,Thiên địa từ chối hỗ trợ nhưng còn có thể gọi lại.
lose_body_3,combat_lose,body_integration_3,Thất bại nhắc nhở thiên kiếp không dung tha với kẻ yếu.
cult_trib_1,cultivation,tribulation_1,Thiên kiếp đầu giáng xuống và sấm sét thử thách ý chí.
cult_trib_2,cultivation,tribulation_2,Thiên kiếp thứ hai và không gian xung quanh bị méo mó.
cult_trib_3,cultivation,tribulation_3,Thiên kiếp cuối cùng — bầu trời mở ra như muốn nuốt chửng.
break_trib_1,breakthrough,tribulation_1,Đón nhận thiên kiếp và biến sấm sét thành đạo lực.
break_trib_2,breakthrough,tribulation_2,Sống sót qua thiên kiếp thứ hai và càng thêm mạnh mẽ.
break_trib_3,breakthrough,tribulation_3,Thiên kiếp đã qua — Đại Thừa đang chờ đợi.
win_trib_1,combat_win,tribulation_1,Kẻ địch bị thiên kiếp cuốn theo như lá trong bão.
win_trib_2,combat_win,tribulation_2,Chiến thắng trong khi thiên kiếp vẫn giáng down — ý chí tuyệt đối.
win_trib_3,combat_win,tribulation_3,Thắng lợi cuối cùng trước khi bước vào Đại Thừa.
lose_trib_1,combat_lose,tribulation_1,Thương tích từ thiên kiếp cộng với chiến bại.
lose_trib_2,combat_lose,tribulation_2,Thiên kiếp đã làm suy yếu và thất bại càng thêm đau đớn.
lose_trib_3,combat_lose,tribulation_3,Thất bại nhắc nhở Đại Thừa cần sự chuẩn bị hoàn hảo.
cult_asc_1,cultivation,great_ascension_1,Đại Thừa — đứng trên đỉnh thế giới phàm và mỗi hơi thở là Ý niệm.
cult_asc_2,cultivation,great_ascension_2,Thiên địa cúi đầu và có thể nhìn thấy vận mệnh của kẻ thường.
cult_asc_3,cultivation,great_ascension_3,Đại Thừa cực hạn — còn một bước nữa là Chân Tiên.
break_asc_1,breakthrough,great_ascension_1,Thiên môn mở hé và tiên lộ không còn là truyền thuyết.
break_asc_2,breakthrough,great_ascension_2,Một bước nữa gần đến Chân Tiên — đạo tâm như kiên cố.
break_asc_3,breakthrough,great_ascension_3,Đại Thừa đạt đỉnh — Chân Tiên đang chờ đợi.
win_asc_1,combat_win,great_ascension_1,Một trận chiến qua đi như hạt bụi trước cửa trời.
win_asc_2,combat_win,great_ascension_2,Kẻ địch không khác gì kiến trước大象 —碾碎 dễ dàng.
win_asc_3,combat_win,great_ascension_3,Chiến thắng cuối cùng trước khi bước vào Chân Tiên.
lose_asc_1,combat_lose,great_ascension_1,Tiên lộ gặp sóng nhưng đạo tâm vẫn chưa tán.
lose_asc_2,combat_lose,great_ascension_2,Thất bại nhắc nhở Chân Tiên không dễ đạt ngay cả với Đại Thừa.
lose_asc_3,combat_lose,great_ascension_3,Một bước nữa là Chân Tiên — không thể dừng lại được.
cult_immortal_1,cultivation,true_immortal,Đã vượt khỏi giới hạn phàm và thiên đạo — một ý niệm dời non lấp biển.
break_immortal_1,breakthrough,true_immortal,Chân Tiên đã thành — vĩnh hằng trong tầm tay.
win_immortal_1,combat_win,true_immortal,Kẻ địch đã tan biến như chưa từng tồn tại.
lose_immortal_1,combat_lose,true_immortal,Ngay cả Chân Tiên cũng có thể thất bại — nhưng không thể chết.
quest_qi_1,quest_complete,qi_refining_1,Nhim vụ hoàn thành — đạo tâm bắt đầu vững vàng.
quest_qi_2,quest_complete,qi_refining_2,Kinh nghiệm từ nhiệm vụ kết tinh thành tu lực.
quest_qi_3,quest_complete,qi_refining_3,Luyện Khí đã biết cách tăng công trang.
quest_found_1,quest_complete,foundation_1,Nhiệm vụ hoàn thành — Trúc Cơ nghe rõ từng nhịp.
quest_found_2,quest_complete,foundation_2,Kinh nghiệm chiến đấu làm căn cơ thêm vững.
quest_found_3,quest_complete,foundation_3,Kim Đan sẽ chào đón người đã chứng minh sự chuẩn bị.
quest_core_1,quest_complete,core_formation_1,Nhím vụ cho thấy Kim Đan chưa hòa đủ.
quest_core_2,quest_complete,core_formation_2,Tu sĩ Kim Đan đã hoàn thành phần của mình.
quest_core_3,quest_complete,core_formation_3,Kim Đan rực sáng hơn khi cộng sức thành công.
quest_soul_1,quest_complete,nascent_soul_1,Nguyên Anh từng khi hiểu được trách nhiệm.
quest_soul_2,quest_complete,nascent_soul_2,Thần hồn thức tỉnh hơn khi học hỏi từ nhiệm vụ.
quest_soul_3,quest_complete,nascent_soul_3,Người bắt đầu hiểu lý thứ mà Hóa Thần cần.
quest_deity_1,quest_complete,deity_transform_1,Thần ý được bài học từ phục vụ tông môn.
quest_deity_2,quest_complete,deity_transform_2,Thần thức mở rộng khi người đạt được mục tiêu.
quest_deity_3,quest_complete,deity_transform_3,Người bắt đầu nắm được sức mạnh thần ý.
quest_void_1,quest_complete,void_refinement_1,Không gian cho người thấy ý nghĩa trao đổi.
quest_void_2,quest_complete,void_refinement_2,Luyện Hư học được tính kỷ luật từ nhiệm vụ.
quest_void_3,quest_complete,void_refinement_3,Người thấy Hợp Thể không phải xa vời nữa.
quest_body_1,quest_complete,body_integration_1,Thiên địa qua cơ thể trả lời lời nhờ vọng.
quest_body_2,quest_complete,body_integration_2,Hợp nhất thêm chắc chắn khi hoàn thành nhiệm vụ.
quest_body_3,quest_complete,body_integration_3,Độ Kiếp sẽ là bước tiếp của người dũng cảm.
quest_trib_1,quest_complete,tribulation_1,Dù sâu trong kiếp nhưng người vẫn hoàn thành.
quest_trib_2,quest_complete,tribulation_2,Nhiệm vụ giữa cơn bão thiên kiếp — chứng tỏ sức mạnh.
quest_trib_3,quest_complete,tribulation_3,Người sống sót và hoàn thành — Đại Thừa chờ đợi.
quest_asc_1,quest_complete,great_ascension_1,Đại Thừa hoàn thành nhiệm vụ nhân loại.
quest_asc_2,quest_complete,great_ascension_2,Thế giới phàm không thể ràng buộc người nữa.
quest_asc_3,quest_complete,great_ascension_3,Chân Tiên chỉ còn là bước tiếp cuối cùng.
quest_immortal,quest_complete,true_immortal,Chân Tiên hoàn thành những gì chỉ Chân Tiên mới làm được.
rank_up_qi_1,rank_up,qi_refining_1,Bước chân đầu tiên trong tông môn được công nhận.
rank_up_qi_2,rank_up,qi_refining_2,Luyện Khí nhập môn vào hàng nội môn.
rank_up_qi_3,rank_up,qi_refining_3,Người sắp bước vào tầng nền móng — tông môn ghi nhận.
rank_up_found_1,rank_up,foundation_1,Trúc Cơ được tông môn chỉ dạy riêng.
rank_up_found_2,rank_up,foundation_2,Căn cơ vững chắc — người trở thành truyền nhân.
rank_up_found_3,rank_up,foundation_3,Kim Đan sắp tới — tông môn sẵn sàng hỗ trợ toàn lực.
rank_up_core_1,rank_up,core_formation_1,Kim Đan tạo thành — người xứng đáng thăng tiến.
rank_up_core_2,rank_up,core_formation_2,Quyền năng Kim Đan được tông môn công nhận cao.
rank_up_core_3,rank_up,core_formation_3,Nguyên Anh gần kề — người là trụ cột tông môn.
rank_up_soul_1,rank_up,nascent_soul_1,Nguyên Anh hiện hình — người là de tu chan truyền.
rank_up_soul_2,rank_up,nascent_soul_2,Tầng cấp mới — người bắt đầu hướng dẫn thế hệ sau.
rank_up_soul_3,rank_up,nascent_soul_3,Người sắp là truong lao — tuổi hạo khí bắt đầu.
rank_up_deity_1,rank_up,deity_transform_1,Thần ý vươn tới — người trở thành cao nhân.
rank_up_deity_2,rank_up,deity_transform_2,Cao thủ được công nhận toàn tông.
rank_up_deity_3,rank_up,deity_transform_3,Hóa Thần gần kề — người là huyền thoại sống.
rank_up_void_1,rank_up,void_refinement_1,Luyện Hư được tôn vinh — người vượt nhân tầng.
rank_up_void_2,rank_up,void_refinement_2,Người không còn thuộc về thế giới phàm nữa.
rank_up_void_3,rank_up,void_refinement_3,Hợp Thể chào đón người — bậc cao thủ tối cao.
rank_up_body_1,rank_up,body_integration_1,Hợp nhất với thiên địa — người vượt qua phàm nhân.
rank_up_body_2,rank_up,body_integration_2,Độ Kiếp chứng tỏ người đủ sức.
rank_up_body_3,rank_up,body_integration_3,Độc mộc thanh vân — người là vĩ nhân huyền thoại.
rank_up_trib_1,rank_up,tribulation_1,Sống qua thiên kiếp — người xứng đáng được tôn sùng.
rank_up_trib_2,rank_up,tribulation_2,Đại Thừa đón nhận người — bậc tối cao.
rank_up_trib_3,rank_up,tribulation_3,Người sắp trở thành huyền thoại của thế giới.
rank_up_asc_1,rank_up,great_ascension_1,Đại Thừa là đỉnh của tông môn.
rank_up_asc_2,rank_up,great_ascension_2,Tôn sư cũ chỉ còn là bộp kính.
rank_up_asc_3,rank_up,great_ascension_3,Chân Tiên — bậc cao nhất tôn phái.
rank_up_immortal,rank_up,true_immortal,Chân Tiên vĩnh hằng — người là thần thánh.
