id,name_vn,type,grade,element,effect_type,effect_value,req_realm,max_stack,description,lore
heart_cleanse,Tâm Thanh Đan,pill,3,None,exp_boost,400,core_formation,3,Tẩy tạp chất kim đan thúc đẩy tu luyện,Đan hiếm trung châu
soul_mending,Nguyên Thần Bổ,pill,3,None,heal_hp,500,core_formation,3,Hồi phục nguyên thần tổn thương,Cực hiếm bí cảnh
five_ghost_banner,Ngũ Quỷ Trận Phù,scroll,3,None,stat_boost,35,core_formation,5,Tăng lực nhưng hao tổn thần trí,Vật phẩm tà đạo cấm thuật
azure_jade_armor,Thanh Ngọc Phù Văn,scroll,3,None,def_buff,60,core_formation,5,Kích hoạt lá chắn linh lực cổ trận,Tàn tích trung châu
thunder_seal,Lôi Ấn Phù,scroll,3,Kim,burst_damage,50,core_formation,5,Phù kích nổ lôi lực một lần,Thiên lôi mới kích hoạt
nascent_mirror,Nguyên Anh Tâm Kính,relic,4,None,stat_boost,80,nascent_soul,1,Cổ kính giúp tăng thấu hiểu công pháp,Di vật cổ tu sĩ
heaven_sword_seal,Thiên Kiếm Phù Ấn,scroll,4,Kim,burst_damage,100,nascent_soul,3,Triệu hồi kiếm khí cổ xưa một lần,Bản sao kiếm ý thất truyền
dragon_scale_robe,Long Lân Dịch,pill,4,None,def_buff,120,nascent_soul,3,Dịch long khí tăng phòng thủ tạm thời,Không thể tái tạo
void_ring,Hư Không Nạp Phù,relic,5,None,utility,1,deity_transform,1,Mở không gian chứa đồ tạm thời,Công pháp không gian cổ
chaos_bead,Hỗn Nguyên Linh Châu,relic,5,None,stat_boost,200,deity_transform,1,Bộc phát toàn bộ linh lực trong thời gian ngắn,Di vật khai thiên
ancient_beast_blood,Huyết Thú Thượng Cổ,material,3,None,stat_boost,120,core_formation,10,Huyết tinh từ yêu thú cổ đại tăng thể chất,Chỉ thu từ di tích
star_iron_fragment,Thiên Tinh Thiết Phấn,material,4,None,craft_material,1,nascent_soul,20,Khoáng vật rơi từ thiên ngoại dùng luyện khí,Không thuộc thế giới này
void_sand,Hư Không Sa,material,5,None,craft_material,1,deity_transform,10,Cát không gian dùng chế tạo pháp bảo không gian,Trích từ vết nứt hư không
