id,name_vn,sect_id,realm_id,personality,role,faction,description,lore
crane_elder_bach,Bạch Hạc Kiếm Tiên,golden_crane,deity_transform_2,elegant,elder,human,"Đồng sáng lập Kim Hạc Song Kiếm Tông. Kiếm pháp của ông được coi là hoàn hảo nhất nhân tộc — mỗi đòn như bài thơ có vần điệu. Không bao giờ đánh hai lần cùng một người.","Người bạn đường là vũ sư yêu tộc đã mất trong đại chiến Thanh Nguyệt Lâm. Ông lập tông môn này như một lời hứa với người đã chết."
crane_disciple_tuong,Tương Sư Muội,golden_crane,core_formation_1,graceful,disciple,human,"Đệ tử Kim Hạc Song Kiếm Tông nổi tiếng về thân pháp. Đi đứng nhẹ nhàng đến mức có thể bước trên mặt nước mà không tạo gợn sóng. Ít nói về chiến đấu — thích nói về thơ ca.","Yêu tộc Mộc hệ. Một trong số ít yêu tộc nhập môn theo lời mời trực tiếp của Bạch Hạc Kiếm Tiên."
star_elder_thien,Thiên Cơ Đạo Nhân,star_abyss,deity_transform_1,mysterious,elder,human,"Trưởng lão Tinh Uyên Đài. Nói ít — vì ông đã biết trước câu trả lời trước khi người ta hỏi. Thỉnh thoảng trả lời câu hỏi người ta chưa kịp đặt ra. Điều đó vừa tiện vừa đáng sợ.","Có tin đồn ông đã tiên tri Thiên Ma Đại Chiến từ trăm năm trước. Nếu đúng — ông đã biết nhưng không ngăn. Vì sao? Ông không giải thích."
void_elder_khong,Không Minh Tổ Sư,void_flame,nascent_soul_3,eccentric,elder,human,"Người sáng lập Hư Hỏa Không Minh Tông. Lập tông môn từ niềm tin rằng hai thứ tương khắc kết hợp sẽ mạnh hơn chúng riêng lẻ. Bị coi là điên trong nhiều năm — cho đến khi không còn ai dám gọi ông là điên.","Người duy nhất trong lịch sử chặn đứng cánh quân ma đạo trong đại chiến Thanh Nguyệt Lâm bằng một mình. Sau trận đó Hư Hỏa Không Minh Tông được công nhận hợp pháp."
void_disciple_huyen,Huyễn Sư Huynh,void_flame,core_formation_3,eccentric,disciple,human,"Đệ tử Hư Hỏa Không Minh Tông. Thích nói chuyện về lý thuyết hơn thực hành — nhưng khi thực hành thì vượt xa lý thuyết. Hay biến mất giữa câu chuyện đang dang dở.","Vào tông môn vì tò mò về nghịch lý tương khắc. Ba năm sau vẫn chưa tìm được câu trả lời — và điều đó khiến ông vui hơn."
yao_elder_nguyet,Nguyệt Hồ Trưởng Lão,yao_moon_alliance,nascent_soul_2,cunning,elder,yao,"Trưởng lão Nguyệt Yêu Liên Minh. Hồ tộc — có thể cảm nhận cảm xúc người đối diện như ngửi mùi. Nói chuyện bao giờ cũng biết bạn muốn nghe gì — và thường nói đúng thứ đó. Điều đó không nhất thiết là tốt.","Kẻ có mùi ma đạo trong Nguyệt Yêu Triệu Hội năm 97 thật ra là Cửu Vĩ Yêu Hồ Vương đội lốt — Nguyệt Hồ Trưởng Lão biết điều đó. Và im lặng."
yao_disciple_lam,Lam Vũ Sư Muội,yao_moon_alliance,foundation_2,wild,disciple,yao,"Đệ tử yêu tộc Nguyệt Yêu Liên Minh. Long tộc huyết mạch — dù không thuần chủng nhưng móng tay cô cứng như thép và không sợ bất kỳ thứ gì. Nhân tộc mới vào tông thường bị cô thử gan.","Nhân tộc đầu tiên cô kết bạn thật sự là một tu sĩ Trúc Cơ nhỏ hơn cô nhiều cảnh giới. Điều đó khiến cô suy nghĩ lại về nhiều thứ."
beast_elder_hung,Hùng Vương Điện Chủ,ancient_beast_palace,void_refinement_1,imposing,elder,yao,"Điện chủ Vạn Yêu Cổ Điện — trực tiếp dưới quyền Yêu Hoàng. Hùng tộc huyết thống cổ đại. Giọng nói của ông đủ khiến linh thú cấp thấp phủ phục. Không tức giận — chỉ thất vọng và điều đó đáng sợ hơn.","Tuổi ông tính bằng thế kỷ. Đã chứng kiến cả Yêu Triều Bạo Động lần đầu — và lần này ông biết rõ ai đứng sau."
beast_disciple_tho,Thổ Linh Sư Huynh,ancient_beast_palace,core_formation_2,steady,disciple,yao,"Đệ tử Vạn Yêu Cổ Điện — Rùa tộc huyết thống. Chậm rãi trong mọi thứ — đi bộ cũng chậm, nói cũng chậm. Nhưng phòng thủ của ông khiến Kim Đan Hậu Kỳ không để lại vết xước.","Linh thú đồng hành của ông là một con rùa nghìn năm tuổi lớn hơn người. Hai người lúc nào cũng ở cạnh nhau — không ai biết ai đang bảo vệ ai."
blood_elder_huyet,Huyết Uyên Tông Chủ,blood_abyss,nascent_soul_3,sinister,elder,mo,"Tông chủ công khai Huyết Uyên Ma Điện. Mặt luôn mang nụ cười — ngay cả khi tra tấn. Nói chuyện lịch sự đến mức người ta quên mất đang đối diện với ai. Cho đến khi quá muộn.","Thực ra chỉ là bình phong. Người kiểm soát thật sự ở phía sau — và hắn biết điều đó. Hắn chấp nhận vai trò này đổi lấy thứ gì đó mà không ai biết."
blood_disciple_am,Âm Sát Sư Huynh,blood_abyss,core_formation_3,cruel,disciple,mo,"Đệ tử cấp cao Huyết Uyên Ma Điện. Huyết ấn trên ngực hắn đậm hơn bất kỳ ai — dấu hiệu của mức độ trói buộc cao nhất. Mắt hắn đôi khi ánh lên sắc tím khi chiến đấu.","Từng là tu sĩ nhân tộc bình thường. Gia nhập ma điện vì nợ linh thạch. Bây giờ nợ đó trở nên không quan trọng nữa."
rogue_bach,Bạch Vô Danh,none,foundation_2,greedy,rogue,human,"Tản tu lang bạt đổi tin tức lấy linh thạch. Biết nhiều về địa hình, bí cảnh và chuyện thị phi hơn bất kỳ ai. Không trung thành với bất kỳ ai — chỉ trung thành với túi linh thạch của mình.","Có người nói trước đây ông là đệ tử một đại tông bị trục xuất. Ông không xác nhận nhưng đôi khi lộ ra kiến thức không phải tản tu bình thường có được."
rogue_lao_co,Lão Cô Tu Sĩ,none,core_formation_1,mysterious,rogue,human,"Tản tu cô đơn lang thang bí cảnh này qua bí cảnh khác. Không thuộc tông môn nào — không phải vì không được nhận mà vì không muốn. Biết lối vào hàng chục bí cảnh không có trên bản đồ.","Mang theo một chiếc hộp gỗ không bao giờ mở trước mặt người khác. Nói đó là di vật của người thân. Biểu cảm khi nói điều đó không giống đang nói thật."
merchant_ma,Mã Thương Nhân,none,qi_refining_3,greedy,merchant,human,"Thương nhân chuyên lui tới các phiên chợ tu tiên. Bán đủ thứ — một số thứ không hỏi nguồn gốc. Luôn biết giá thị trường hôm nay và đoán được ngày mai.","Từng có tin đồn liên quan đến Thiên Các Thương Hội. Ông cắt đứt khi được hỏi: 'Thiên Các là ai? Tôi chỉ là người bán hàng.'"
merchant_nguyen,Nguyên Linh Bà,none,foundation_1,shrewd,merchant,human,"Bà già bán linh thảo và đan dược ở chợ Bạch Sa Độ. Giá cao hơn chỗ khác — nhưng hàng không bao giờ giả. Đệ tử tông môn lớn cũng phải cúi đầu khi mua đồ.","Chồng bà mất trong đợt Lũ Linh Khí năm 26. Bà tự tay trồng linh thảo nuôi con suốt ba mươi năm. Bây giờ con bà là trưởng lão một đại tông."
wanderer_tran,Trần Phong Khách,none,nascent_soul_1,melancholic,rogue,human,"Tản tu Nguyên Anh kỳ không thuộc môn phái nào. Từ chối mọi lời mời gia nhập tông môn. Đi khắp nơi không có điểm đến cố định — như người đang tìm thứ gì đó nhưng không biết nó là gì.","Có người nói ông là đệ tử cũ của Không Minh Tổ Sư. Có người nói ông là kẻ sống sót duy nhất của một tông môn bị ma đạo diệt. Không ai biết chắc."
imperial_envoy_diep,Diệp Hoàng Sứ,none,core_formation_2,formal,official,human,"Sứ giả triều đình phụ trách quan hệ giữa triều đình và tu tiên giới. Không thuộc tông môn nhưng có quyền lực mà tông môn không dám bỏ qua. Lịch sự đến mức lạnh lùng.","Triều đình hiện tại nắm giữ thông tin về hầu hết mọi tông môn — và Diệp Hoàng Sứ là người giao nhận thông tin đó. Ông biết nhiều bí mật hơn bất kỳ trưởng lão nào."
sky_pavilion_ghost,Thiên Các Bóng Ma,none,foundation_3,mysterious,rogue,human,"Kẻ tự xưng là thành viên cuối cùng của Thiên Các Thương Hội sau khi hội biến mất năm 217. Không ai biết mặt thật. Đổi thông tin về quá khứ Thiên Các lấy thứ gì đó không phải linh thạch.","Thực ra Thiên Các không biến mất — chỉ thay hình dạng. Kẻ này biết điều đó. Và đang đợi ai đó đủ thông minh để hỏi đúng câu hỏi."
demonic_tu_phong,Tử Phong,none,nascent_soul_2,cunning,demonic_cultivator,demonic,"Ma tu độc lập không thuộc phe phái nào. Tà đạo thuần túy, không quan tâm đến chánh tà. Cung cấp quyền lực cho những kẻ đủ can đảm chấp nhận cái giá. Cười khi thấy người khác khổ sở.","Từng là đệ tử xuất sắc của một tông môn chính đạo. Sau một biến cố không ai biết chi tiết, ông ta tàn sát sư môn và biến mất. Bây giờ xuất hiện trở lại, mạnh mẽ hơn và tà đạo hơn."
demon_queen_nu,Nữ Quân,magic_city,deity_transformation_1,cold,demonic_cultivator,mo,"Nữ hoàng Ma tộc kiêm Ma tu. Thống lĩnh một thành phố bí ẩn nơi Ma tộc và Ma tu cùng tồn tại. Cái nhìn của bà lạnh như băng, không xúc cảm — chỉ có tính toán và quyền lực.","Sinh ra là Ma tộc, sau này bước vào tà đạo. Bà chứng minh rằng Ma tu không chỉ là con đường của Human. Ai cũng có thể trở thành ma — chỉ cần đủ tuyệt vọng và khát vọng."
corrupt_elder_thien,Thiện Ma Trưởng Lão,corrupted_sect,core_formation_3,manipulative,elder,demonic,"Trưởng lão một tông môn đã bị tà đạo thâm nhập từ bên trong. Bề ngoài vẫn giữ vẻ chính đạo, nhưng thực chất đã dạy đệ tử công pháp biến dị. Lừa dịnh những kẻ trẻ tuổi bước vào con đường tà.","Ông không phải Ma tu từ đầu. Ông bị phản bội, bị vu oan, và tông môn không bảo vệ ông. Tà đạo tìm đến ông khi ông gần như phát điên. Bây giờ ông trả thù — bằng cách làm những gì ông từng bị làm."
