id,npc_id,trigger_event,memory_text,relation_delta_respect,relation_delta_trust,relation_delta_fear
m_tho_first_meet,beast_disciple_tho,first_meet,"Ngươi mới đến. Ngồi xuống — đừng vội. Con rùa của ta cũng muốn quan sát ngươi.",0,1,0
m_tho_patient,beast_disciple_tho,show_patience,"Ngươi chờ đợi mà không bực bội. Con rùa của ta thích ngươi — đó là dấu hiệu tốt.",1,3,0
m_huyet_join,blood_elder_huyet,join_sect,"Ngươi đã thắng khi gần chết. Tông môn ta chào đón ngươi.",2,0,2
m_huyet_strong,blood_elder_huyet,show_power,"Ngươi mạnh hơn ta nghĩ. Ta sẽ để ý ngươi từ đây.",3,0,3
m_huyet_blood_seal,blood_elder_huyet,blood_seal,"Huyết ấn đã được khắc. Ngươi thuộc về Huyết Uyên từ bây giờ — dù ngươi có muốn hay không.",0,-4,4
m_am_first_meet,blood_disciple_am,first_meet,"Ngươi mới vào à. Tránh xa ta — không phải vì ta không thích ngươi. Mà vì ta không muốn ngươi nhìn thấy điều ta làm tiếp theo.",0,0,3
m_am_fight_together,blood_disciple_am,fight_together,"Ngươi chiến đấu cạnh ta mà không bỏ chạy. Ít người làm được điều đó.",2,2,1
m_bach_vo_danh_info,rogue_bach,give_info,"Ngươi trả tiền đúng hạn và không hỏi nguồn gốc. Đó là khách hàng lý tưởng của ta.",0,2,0
m_bach_vo_danh_secret,rogue_bach,buy_secret,"Ngươi mua tin tức về bí cảnh từ ta. Ta bán thêm — nhưng giá lần sau sẽ cao hơn.",1,1,0
m_bach_vo_danh_trust,rogue_bach,prove_trust,"Ngươi đã không phản bội ta khi có cơ hội. Ta không quên điều đó.",0,4,0
m_lao_co_meet,rogue_lao_co,first_meet,"Ngươi tìm được ta ở đây. Điều đó không dễ — ta có thể nghe ngươi một lúc.",1,1,0
m_lao_co_secret_realm,rogue_lao_co,ask_secret_realm,"Ngươi hỏi ta về bí cảnh không có trên bản đồ. Ta biết vài nơi — nhưng thông tin đó không miễn phí.",1,2,0
m_lao_co_box,rogue_lao_co,ask_about_box,"Ngươi hỏi về chiếc hộp. Đừng hỏi nữa.",0,-1,1
m_ma_thuong_buy,merchant_ma,buy_item,"Ngươi mua hàng của ta. Ta thích khách không hỏi quá nhiều.",0,1,0
m_ma_thuong_haggle,merchant_ma,haggle,"Ngươi mặc cả với ta. Ta tôn trọng điều đó — nhưng đừng quá đáng.",0,0,0
m_ma_thuong_thien_cac,merchant_ma,ask_sky_pavilion,"Ngươi hỏi ta về Thiên Các. Ta không trả lời câu hỏi đó.",0,-1,1
m_nguyen_linh_buy,merchant_nguyen,buy_item,"Ngươi mua linh thảo của ta. Ta bán hàng thật — ngươi không cần kiểm tra.",0,2,0
m_nguyen_linh_respect,merchant_nguyen,show_respect,"Ngươi cúi đầu với ta dù tu vi cao hơn ta nhiều. Ta nhớ người biết lễ nghĩa.",1,3,0
m_nguyen_linh_son,merchant_nguyen,ask_about_son,"Ngươi hỏi về con trai ta. Hắn đang làm trưởng lão của một đại tông — ta không nói tông nào.",0,2,0
m_tran_phong_meet,wanderer_tran,first_meet,"Ngươi tìm được ta. Không dễ — ta đang không muốn được tìm thấy.",1,0,0
m_tran_phong_secret,wanderer_tran,share_secret,"Ngươi nói với ta điều mà ngươi không nói với ai. Đôi khi người không quen lại dễ nói chuyện hơn.",0,3,0
m_tran_phong_past,wanderer_tran,ask_about_past,"Ngươi hỏi về quá khứ của ta. Ta sẽ không trả lời — nhưng ta không tức giận vì câu hỏi đó.",0,1,0
m_diep_official_meet,imperial_envoy_diep,first_meet,"Ngươi gặp ta trong nhiệm vụ chính thức. Ta ghi nhận sự hiện diện của ngươi.",1,0,0
m_diep_official_help,imperial_envoy_diep,help_official,"Ngươi hỗ trợ công việc của triều đình. Điều đó sẽ được ghi nhận ở nơi cần thiết.",2,2,0
m_diep_secret_info,imperial_envoy_diep,give_info,"Ngươi cung cấp thông tin mà triều đình cần. Ta không hỏi ngươi lấy từ đâu.",2,3,0
m_thien_cac_ghost_meet,sky_pavilion_ghost,first_meet,"Ngươi tìm thấy ta. Điều đó có nghĩa là ngươi đang hỏi đúng câu hỏi — hoặc sai câu hỏi.",1,0,1
m_thien_cac_ghost_buy,sky_pavilion_ghost,buy_info,"Ngươi mua thông tin về Thiên Các từ ta. Ta không bán bằng linh thạch — ta muốn thứ khác.",0,2,1
m_thien_cac_ghost_truth,sky_pavilion_ghost,discover_truth,"Ngươi hiểu rằng Thiên Các chưa biến mất. Ta chờ kẻ đủ thông minh để nhận ra điều đó lâu rồi.",3,4,2
